votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
302,49.03,2,0,0,ultimo,549,93,207
366,39.02,3,0,0,ultimo,550,124,239
326,36.14,0,2,0,ultimo,551,124,200
344,46.68,0,0,0,ultimo,552,105,239
494,56.07,0,0,0,ultimo,553,160,334
616,72.81,0,1,0,ultimo,554,217,398
578,68.4,1,0,0,ultimo,555,203,374
285,37.11,2,2,0,ultimo,556,79,202
517,65.61,2,0,0,ultimo,557,149,366
547,69.5,0,0,0,ultimo,558,173,374
409,43.93,1,1,0,ultimo,559,122,285
275,38.84,2,0,0,ultimo,560,78,195
655,68.09,2,0,0,ultimo,561,178,475
388,49.49,1,1,0,ultimo,562,136,250
486,50.26,3,0,0,ultimo,563,121,362
235,26.43,0,1,0,ultimo,564,60,174
263,41.61,2,1,0,ultimo,565,89,171
237,33.91,3,1,0,ultimo,566,64,169
545,53.43,4,0,0,ultimo,567,179,362
589,51.13,5,1,0,ultimo,568,203,380
143,26.58,5,0,0,ultimo,569,45,93
286,41.09,1,0,0,ultimo,570,94,191
426,46.56,0,0,0,ultimo,571,163,263
253,30.56,0,0,0,ultimo,572,69,184
573,67.17,1,1,0,ultimo,573,175,396
587,66.7,1,1,0,ultimo,574,173,412
582,66.36,0,0,0,ultimo,575,167,415
494,67.03,3,0,0,ultimo,576,174,317
649,70.54,2,1,0,ultimo,577,182,464
627,58.93,0,1,0,ultimo,578,171,455
410,45.86,2,0,0,ultimo,579,117,291
296,29.25,3,0,0,ultimo,580,93,200
440,53.66,0,1,0,ultimo,581,81,358
201,28.27,0,0,0,ultimo,582,51,150
328,44.87,0,3,3,ultimo,583,88,234
428,38.52,5,3,0,ultimo,584,123,297
404,39.92,2,0,0,ultimo,585,131,271
284,33.26,1,4,0,ultimo,586,95,184
395,35.11,3,0,0,ultimo,587,141,251
217,36.41,1,0,0,ultimo,588,61,155
352,48.48,2,0,0,ultimo,589,117,233
344,37.11,2,0,0,ultimo,590,94,248
176,22.56,0,0,0,ultimo,591,49,127
396,36.36,0,0,0,ultimo,592,133,263
432,46.2,2,1,0,ultimo,593,103,326
233,39.36,0,0,0,ultimo,594,76,157
517,46.45,4,0,0,ultimo,595,150,363
327,44.31,1,0,0,ultimo,596,76,250
340,45.52,1,1,0,ultimo,598,100,238
362,41.71,3,1,0,ultimo,597,106,252
385,45.4,0,1,0,ultimo,599,127,257
555,53.57,1,2,0,ultimo,600,193,359
