votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
304,50.84,1,1,0,ultimo,295,89,213
414,60.35,1,0,0,ultimo,296,108,305
399,68.91,0,1,0,ultimo,297,112,286
504,72.1,1,1,0,ultimo,298,135,367
413,66.19,0,1,0,ultimo,299,111,301
291,55.01,1,0,0,ultimo,300,102,188
333,54.5,3,1,0,ultimo,301,100,229
299,45.93,0,0,0,ultimo,302,79,220
420,61.4,1,0,0,ultimo,303,71,348
419,58.77,0,1,0,ultimo,304,105,313
458,54.85,0,1,0,ultimo,305,162,295
422,58.21,2,1,0,ultimo,306,154,265
254,51.0,0,0,0,ultimo,307,96,158
392,53.92,0,0,0,ultimo,308,142,250
267,55.63,1,1,0,ultimo,309,95,170
425,64.49,0,1,0,ultimo,310,124,300
391,63.99,5,0,0,ultimo,311,107,279
424,56.23,0,0,0,ultimo,312,164,260
475,62.34,3,1,0,ultimo,313,156,315
296,65.63,1,2,0,ultimo,314,81,212
328,57.04,2,0,0,ultimo,315,86,240
314,59.7,1,0,0,ultimo,316,104,209
350,67.18,0,0,0,ultimo,317,104,246
425,64.59,0,1,0,ultimo,318,115,309
354,71.95,0,2,0,ultimo,319,109,243
416,63.61,2,0,0,ultimo,320,100,314
336,62.34,0,0,0,ultimo,321,119,217
472,63.61,0,0,0,ultimo,322,132,340
438,63.48,2,0,0,ultimo,324,110,326
312,63.16,1,0,0,ultimo,323,92,219
538,68.02,2,0,0,ultimo,325,179,357
540,70.77,2,0,0,ultimo,326,158,380
509,68.6,0,1,0,ultimo,327,178,330
574,72.38,0,3,0,ultimo,328,161,410
559,72.6,2,1,0,ultimo,329,187,369
522,72.91,2,5,0,ultimo,330,148,367
558,67.8,1,0,0,ultimo,331,208,349
565,67.83,3,0,0,ultimo,332,280,282
524,70.72,0,4,0,ultimo,333,141,379
436,68.66,4,0,0,ultimo,334,162,270
548,74.76,2,2,0,ultimo,335,199,345
425,70.72,0,1,0,ultimo,336,199,225
672,74.75,1,1,0,ultimo,337,241,429
473,72.88,3,1,0,ultimo,338,139,330
507,75.56,1,1,0,ultimo,339,182,323
483,78.92,1,2,0,ultimo,340,166,314
593,76.03,0,1,0,ultimo,341,232,360
591,78.07,2,1,0,ultimo,342,244,344
612,73.38,1,0,0,ultimo,343,194,417
527,76.71,2,3,0,ultimo,344,154,368
560,76.4,0,0,0,ultimo,345,241,319
715,77.13,1,3,0,ultimo,346,231,480
597,77.33,0,0,0,ultimo,347,241,356
480,77.17,2,1,0,ultimo,348,158,319
511,73.95,1,0,0,ultimo,349,171,339
587,73.28,1,2,0,ultimo,350,209,375
499,78.46,0,1,0,ultimo,351,185,313
481,78.21,0,0,0,ultimo,352,247,234
491,66.62,2,1,0,ultimo,353,145,343
650,78.13,3,0,0,ultimo,354,270,377
654,77.12,1,1,0,ultimo,355,305,347
593,77.52,0,0,0,ultimo,356,235,358
566,75.87,1,1,0,ultimo,357,238,326
518,69.62,0,1,0,ultimo,358,231,286
591,27.2,1,1,0,ultimo,359,285,304
616,71.46,1,1,0,ultimo,360,256,358
600,71.6,0,1,0,ultimo,361,322,277
532,74.2,1,1,0,ultimo,362,248,282
507,75.67,2,0,0,ultimo,363,200,305
590,72.84,2,0,0,ultimo,364,242,346
595,72.74,0,2,0,ultimo,365,249,344
453,72.71,2,0,0,ultimo,366,200,251
706,76.74,1,0,0,ultimo,367,308,397
493,76.67,1,3,0,ultimo,368,216,273
82,,0,0,0,ultimo,369,26,56
326,71.18,2,0,0,ultimo,370,161,163
391,76.82,0,1,0,ultimo,371,192,198
522,72.0,0,2,0,ultimo,373,227,293
582,74.23,1,2,0,ultimo,372,342,237
431,67.98,1,2,0,ultimo,374,168,260
492,71.1,1,0,0,ultimo,375,195,296
527,74.33,0,1,0,ultimo,376,230,296
586,73.34,0,2,0,ultimo,377,318,266
533,70.78,1,4,0,ultimo,378,305,223
517,71.41,1,0,0,ultimo,379,231,285
550,66.67,2,0,0,ultimo,380,200,348
553,70.63,1,1,0,ultimo,381,216,335
632,71.33,5,1,0,ultimo,382,260,366
512,66.06,1,0,0,ultimo,383,183,328
556,67.31,1,1,0,ultimo,384,196,358
597,66.78,3,1,0,ultimo,385,220,373
508,66.15,2,0,0,ultimo,386,227,279
597,67.15,1,0,0,ultimo,387,243,353
512,75.85,0,2,0,ultimo,388,287,223
594,74.72,0,0,0,ultimo,389,294,300
478,67.99,1,1,0,ultimo,390,212,264
668,71.37,4,1,0,ultimo,391,334,329
497,77.05,1,0,0,ultimo,392,221,275
709,81.31,0,2,0,ultimo,393,385,322
589,73.53,1,0,0,ultimo,394,346,242
510,74.67,3,0,0,ultimo,395,242,265
585,70.06,1,1,0,ultimo,396,317,266
555,66.63,0,0,0,ultimo,397,274,281
473,79.1,1,1,0,ultimo,398,244,227
605,71.94,1,1,0,ultimo,399,240,363
554,76.31,1,0,0,ultimo,400,242,311
494,78.29,2,1,0,ultimo,401,184,307
502,70.51,1,2,0,ultimo,402,218,281
689,73.38,0,0,0,ultimo,403,334,355
528,66.08,0,0,0,ultimo,404,309,219
