"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 196";"";"21,48";"49,00";"56,41";"68,78"
"SEZIONE 197";"";"15,08";"34,54";"39,97";"51,13"
"SEZIONE 198";"";"19,43";"48,69";"56,91";"68,62"
"SEZIONE 199";"";"15,68";"40,07";"46,69";"58,36"
"SEZIONE 200";"";"19,80";"50,22";"60,69";"71,88"
"SEZIONE 201";"";"15,59";"47,07";"56,37";"67,38"
"SEZIONE 204";"";"15,88";"42,22";"50,32";"61,30"
"SEZIONE 205";"";"17,94";"35,23";"39,87";"49,03"
"SEZIONE 206";"";"22,53";"52,34";"61,40";"71,70"
"SEZIONE 207";"";"18,08";"48,90";"57,08";"69,03"
"SEZIONE 208";"";"17,69";"47,08";"55,85";"69,50"
"SEZIONE 212";"";"15,29";"46,82";"57,37";"69,28"
"SEZIONE 213";"";"14,58";"46,55";"55,96";"64,73"
"SEZIONE 214";"";"14,53";"38,39";"47,24";"57,82"
"SEZIONE 215";"";"17,79";"47,48";"57,88";"69,99"
"SEZIONE 217";"";"13,69";"44,85";"57,32";"71,95"
"SEZIONE 220";"";"19,66";"50,22";"62,70";"77,19"
"SEZIONE 221";"";"15,37";"34,29";"42,40";"54,73"
"SEZIONE 223";"";"18,10";"47,93";"60,97";"75,53"
"SEZIONE 224";"";"14,97";"45,05";"58,98";"75,26"
"SEZIONE 226";"";"12,90";"47,95";"59,53";"73,31"
"SEZIONE 229";"";"16,25";"49,21";"60,09";"73,34"
"SEZIONE 230";"";"20,88";"51,74";"61,72";"75,29"
"SEZIONE 232";"";"3,05";"48,31";"59,00";"72,96"
"SEZIONE 234";"";"16,49";"46,33";"54,27";"64,92"
"SEZIONE 235";"";"15,36";"45,49";"60,27";"72,17"
"SEZIONE 236";"";"17,14";"43,32";"54,79";"66,94"
"SEZIONE 237";"";"17,02";"50,00";"59,42";"73,69"
"SEZIONE 238";"";"12,05";"33,08";"38,19";"47,83"
"SEZIONE 240";"";"13,68";"46,32";"56,32";"66,21"
"SEZIONE 242";"";"15,33";"47,10";"56,52";"69,66"
"SEZIONE 243";"";"16,54";"46,33";"55,23";"64,90"
"SEZIONE 246";"";"13,54";"47,40";"56,38";"69,29"
"SEZIONE 250";"";"13,71";"45,29";"53,71";"68,29"
"SEZIONE 251 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 252";"";"14,94";"41,24";"48,42";"65,66"
"SEZIONE 257";"";"19,15";"49,61";"58,35";"72,37"
