"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 157";"";"9,04";"26,48";"32,97"
"SEZIONE 158";"";"9,67";"25,00";"31,96"
"SEZIONE 159";"";"10,37";"25,79";"32,85"
"SEZIONE 160";"";"8,16";"19,84";"25,06"
"SEZIONE 161";"";"9,09";"26,30";"32,95"
"SEZIONE 162";"";"8,08";"21,84";"25,60"
"SEZIONE 163";"";"11,80";"36,70";"37,77"
"SEZIONE 164";"";"10,07";"35,85";"44,15"
"SEZIONE 165";"";"5,28";"15,84";"21,70"
"SEZIONE 166";"";"8,35";"23,15";"28,64"
"SEZIONE 167";"";"8,21";"20,59";"24,53"
"SEZIONE 168";"";"8,78";"25,00";"33,78"
"SEZIONE 169";"";"10,90";"26,60";"36,57"
"SEZIONE 170";"";"13,89";"43,11";"55,33"
"SEZIONE 171";"";"12,80";"33,77";"40,84"
"SEZIONE 172";"";"13,93";"41,47";"49,74"
"SEZIONE 173";"";"16,67";"40,48";"50,42"
"SEZIONE 174";"";"15,69";"35,29";"43,40"
"SEZIONE 175";"";"16,17";"41,17";"50,95"
"SEZIONE 176";"";"17,45";"44,36";"53,94"
"SEZIONE 177";"";"12,91";"40,66";"49,31"
"SEZIONE 178";"";"4,06";"15,23";"19,09"
"SEZIONE 179";"";"6,97";"17,21";"26,31"
"SEZIONE 180";"";"11,14";"31,90";"38,05"
"SEZIONE 181";"";"15,65";"39,89";"50,27"
"SEZIONE 182";"";"16,99";"44,56";"53,98"
"SEZIONE 183";"";"15,02";"45,54";"53,52"
"SEZIONE 184";"";"19,35";"47,38";"55,44"
"SEZIONE 185";"";"18,17";"44,15";"53,03"
"SEZIONE 186";"";"15,96";"44,70";"54,41"
"SEZIONE 187";"";"11,40";"27,13";"31,93"
"SEZIONE 188";"";"9,27";"30,89";"34,11"
"SEZIONE 189";"";"17,30";"45,53";"55,37"
"SEZIONE 190";"";"17,74";"44,22";"55,66"
"SEZIONE 191";"";"11,46";"26,24";"38,12"
"SEZIONE 192";"";"9,71";"24,47";"31,91"
"SEZIONE 193";"";"9,16";"25,52";"34,29"
"SEZIONE 194";"";"14,12";"39,61";"51,76"
"SEZIONE 195";"";"16,10";"42,89";"51,93"
"SEZIONE 196";"";"14,23";"34,45";"41,51"
"SEZIONE 197";"";"9,64";"23,24";"28,92"
"SEZIONE 198";"";"15,78";"40,60";"50,84"
"SEZIONE 199";"";"16,01";"49,11";"55,40"
"SEZIONE 200";"";"15,68";"41,25";"52,16"
"SEZIONE 201";"";"10,41";"26,49";"35,00"
"SEZIONE 202";"";"10,58";"33,17";"40,54"
"SEZIONE 203";"";"13,14";"32,79";"39,43"
"SEZIONE 204";"";"9,72";"33,24";"39,36"
"SEZIONE 205";"";"9,32";"28,94";"37,19"
"SEZIONE 206";"";"10,32";"25,56";"35,40"
"SEZIONE 207";"";"11,43";"32,69";"39,37"
"SEZIONE 208";"";"13,71";"36,11";"43,62"
"SEZIONE 209";"";"8,72";"28,60";"34,67"
"SEZIONE 210";"";"13,77";"36,12";"41,31"
"SEZIONE 211";"";"11,89";"30,78";"36,67"
"SEZIONE 212";"";"8,75";"28,78";"37,41"
"SEZIONE 213";"";"12,21";"29,18";"38,05"
"SEZIONE 214";"";"5,88";"15,01";"18,46"
"SEZIONE 215";"";"4,66";"14,97";"19,21"
"SEZIONE 216";"";"10,61";"25,72";"30,06"
"SEZIONE 217";"";"12,17";"24,34";"29,93"
"SEZIONE 218";"";"14,26";"31,48";"35,13"
"SEZIONE 219";"";"10,11";"24,63";"29,04"
"SEZIONE 220";"";"5,92";"21,97";"30,42"
"SEZIONE 221";"";"11,39";"29,82";"35,02"
"SEZIONE 222";"";"9,73";"24,96";"29,34"
"SEZIONE 223";"";"6,98";"16,39";"20,18"
"SEZIONE 224";"";"9,14";"18,05";"23,04"
"SEZIONE 225";"";"9,82";"26,02";"31,87"
"SEZIONE 226";"";"6,70";"17,05";"20,69"
"SEZIONE 227";"";"9,32";"19,59";"22,97"
"SEZIONE 228";"";"8,93";"25,55";"30,49"
"SEZIONE 229";"";"7,50";"22,87";"27,95"
"SEZIONE 230";"";"11,12";"25,39";"31,44"
"SEZIONE 231";"";"10,91";"24,26";"31,25"
"SEZIONE 232";"";"8,98";"24,88";"30,22"
"SEZIONE 233";"";"11,81";"32,86";"35,82"
"SEZIONE 234";"";"9,46";"24,31";"30,75"
"SEZIONE 235";"";"15,52";"43,10";"67,24"
"SEZIONE 236";"";"8,78";"25,92";"35,20"
"SEZIONE 237";"";"15,10";"36,05";"44,21"
"SEZIONE 238";"";"5,82";"16,75";"22,75"
"SEZIONE 239";"";"8,28";"24,84";"30,01"
"SEZIONE 240";"";"10,09";"29,75";"33,60"
"SEZIONE 241";"";"14,53";"33,95";"40,03"
"SEZIONE 242";"";"13,18";"33,12";"39,55"
"SEZIONE 243";"";"16,43";"37,32";"44,02"
"SEZIONE 244";"";"18,87";"44,46";"50,92"
"SEZIONE 245";"";"8,95";"22,68";"25,88"
"SEZIONE 246";"";"12,43";"26,86";"37,14"
"SEZIONE 247";"";"11,47";"27,57";"36,13"
"SEZIONE 248";"";"9,83";"23,41";"28,03"
"SEZIONE 249";"";"13,55";"30,42";"38,70"
"SEZIONE 250";"";"7,14";"21,01";"27,31"
"SEZIONE 251";"";"5,48";"14,68";"16,45"
"SEZIONE 252";"";"6,00";"18,82";"25,41"
"SEZIONE 253";"";"12,18";"29,74";"35,95"
"SEZIONE 254";"";"11,22";"24,34";"31,20"
"SEZIONE 255";"";"5,78";"12,43";"15,17"
"SEZIONE 256";"";"8,41";"27,65";"34,33"
"SEZIONE 257";"";"9,16";"24,30";"29,35"
"SEZIONE 258";"";"10,66";"22,17";"27,58"
"SEZIONE 259";"";"10,68";"26,41";"34,12"
"SEZIONE 260";"";"13,60";"33,44";"42,11"
"SEZIONE 261";"";"8,17";"26,16";"34,59"
"SEZIONE 262";"";"6,03";"14,83";"19,84"
"SEZIONE 263";"";"12,71";"29,14";"34,12"
"SEZIONE 264";"";"5,63";"21,83";"29,23"
"SEZIONE 265";"";"15,03";"39,48";"48,50"
"SEZIONE 266";"";"11,51";"29,56";"36,65"
"SEZIONE 267";"";"14,29";"28,57";"34,85"
"SEZIONE 268";"";"8,46";"24,04";"30,29"
"SEZIONE 269";"";"8,14";"21,50";"26,10"
"SEZIONE 270";"";"10,73";"29,36";"37,74"
"SEZIONE 271";"";"12,61";"32,28";"35,89"
"SEZIONE 272";"";"7,95";"20,49";"29,77"
"SEZIONE 273";"";"7,91";"24,76";"33,88"
"SEZIONE 274";"";"14,31";"33,89";"40,00"
"SEZIONE 275";"";"9,88";"26,61";"34,78"
"SEZIONE 276";"";"10,52";"29,98";"39,14"
"SEZIONE 277";"";"8,58";"23,78";"30,80"
"SEZIONE 278";"";"9,09";"26,10";"32,40"
"SEZIONE 279";"";"8,82";"24,89";"30,88"
"SEZIONE 280";"";"8,09";"25,13";"30,64"
"SEZIONE 281";"";"9,87";"24,34";"30,43"
"SEZIONE 282";"";"9,09";"22,85";"27,27"
"SEZIONE 283";"";"11,51";"29,61";"36,18"
"SEZIONE 284";"";"14,12";"34,72";"45,34"
"SEZIONE 285";"";"12,76";"38,29";"47,76"
"SEZIONE 286";"";"15,64";"38,08";"50,38"
"SEZIONE 287";"";"10,56";"23,43";"29,58"
"SEZIONE 288";"";"8,74";"18,02";"23,45"
"SEZIONE 289";"";"5,67";"15,20";"18,34"
"SEZIONE 290";"";"6,68";"22,11";"26,22"
"SEZIONE 291";"";"8,46";"19,17";"25,56"
"SEZIONE 292";"";"10,80";"23,56";"31,38"
"SEZIONE 293";"";"8,28";"21,38";"27,59"
"SEZIONE 294";"";"11,59";"26,37";"31,25"
"SEZIONE 295";"";"7,51";"18,43";"24,17"
"SEZIONE 296";"";"10,27";"27,73";"34,27"
"SEZIONE 297";"";"6,48";"16,95";"24,69"
"SEZIONE 298";"";"11,70";"28,11";"37,77"
"SEZIONE 299";"";"8,19";"16,78";"22,51"
"SEZIONE 300";"";"8,54";"19,89";"26,17"
"SEZIONE 301";"";"6,69";"22,87";"30,41"
"SEZIONE 302";"";"9,97";"28,90";"35,05"
"SEZIONE 303";"";"7,30";"22,72";"29,68"
"SEZIONE 304";"";"10,30";"24,32";"33,00"
"SEZIONE 305";"";"9,20";"24,47";"32,66"
"SEZIONE 306";"";"9,60";"21,84";"25,59"
"SEZIONE 307";"";"9,81";"19,50";"24,40"
"SEZIONE 308";"";"12,10";"31,09";"36,86"
"SEZIONE 309";"";"6,79";"14,69";"18,02"
