"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 144";"";"18,13";"54,20";"67,94";"77,86"
"SEZIONE 145";"";"17,81";"50,71";"60,57";"73,87"
"SEZIONE 146";"";"15,54";"48,50";"59,59";"73,68"
"SEZIONE 147";"";"20,34";"51,99";"61,95";"75,26"
"SEZIONE 148";"";"19,22";"53,89";"62,89";"74,22"
"SEZIONE 149";"";"31,92";"56,06";"64,99";"77,69"
"SEZIONE 150";"";"20,08";"50,86";"63,47";"77,09"
"SEZIONE 151";"";"18,07";"54,87";"64,89";"78,75"
"SEZIONE 152";"";"20,58";"51,66";"60,34";"71,92"
"SEZIONE 153";"";"37,67";"52,19";"62,86";"75,03"
"SEZIONE 154";"";"25,19";"51,60";"60,25";"73,70"
"SEZIONE 155";"";"21,65";"52,16";"62,66";"74,03"
"SEZIONE 156";"";"19,85";"47,92";"55,50";"70,97"
"SEZIONE 157";"";"17,67";"46,62";"57,06";"69,40"
"SEZIONE 158";"";"20,45";"48,53";"57,62";"72,46"
"SEZIONE 159";"";"20,39";"48,77";"61,30";"76,17"
"SEZIONE 160";"";"21,71";"49,51";"58,05";"70,73"
"SEZIONE 161";"";"21,68";"53,21";"61,06";"73,47"
"SEZIONE 162";"";"22,91";"52,17";"60,53";"72,91"
"SEZIONE 163";"";"23,43";"51,76";"61,59";"72,54"
"SEZIONE 164";"";"17,65";"45,02";"54,48";"68,47"
"SEZIONE 165";"";"22,90";"53,78";"61,87";"75,44"
"SEZIONE 166";"";"22,05";"51,26";"58,83";"70,12"
"SEZIONE 167";"";"20,97";"51,44";"59,93";"73,03"
"SEZIONE 168";"";"19,81";"50,48";"60,39";"73,18"
"SEZIONE 169";"";"19,60";"51,23";"61,14";"74,45"
"SEZIONE 170";"";"21,31";"53,28";"64,65";"76,95"
"SEZIONE 171";"";"18,81";"50,44";"60,84";"76,22"
"SEZIONE 172";"";"17,19";"44,27";"52,08";"67,71"
"SEZIONE 173";"";"15,22";"44,53";"52,42";"64,49"
"SEZIONE 174";"";"17,65";"46,58";"56,60";"69,00"
"SEZIONE 175";"";"20,19";"51,53";"58,32";"66,72"
"SEZIONE 176";"";"19,39";"47,50";"55,41";"68,66"
"SEZIONE 177";"";"17,59";"39,86";"47,80";"59,72"
"SEZIONE 178";"";"19,19";"41,83";"49,78";"61,62"
"SEZIONE 179";"";"18,44";"46,58";"54,64";"68,99"
"SEZIONE 180";"";"19,71";"49,43";"57,19";"71,24"
"SEZIONE 181";"";"19,58";"46,79";"53,21";"63,95"
"SEZIONE 182";"";"17,97";"40,34";"47,80";"59,66"
"SEZIONE 183";"";"17,18";"41,56";"48,47";"58,44"
"SEZIONE 184";"";"18,03";"46,71";"55,77";"67,67"
"SEZIONE 185";"";"20,09";"49,02";"58,55";"71,30"
"SEZIONE 186";"";"16,64";"44,22";"55,15";"68,15"
"SEZIONE 187";"";"18,44";"46,29";"56,23";"68,30"
"SEZIONE 188";"";"15,62";"41,17";"48,47";"54,60"
"SEZIONE 189";"";"17,67";"39,63";"47,62";"57,45"
"SEZIONE 190";"";"14,51";"35,82";"41,94";"55,66"
"SEZIONE 191";"";"20,17";"49,59";"58,15";"70,17"
"SEZIONE 192";"";"23,38";"50,74";"58,38";"71,47"
"SEZIONE 193";"";"15,00";"35,88";"41,18";"50,00"
"SEZIONE 194";"";"18,15";"38,10";"43,90";"55,21"
"SEZIONE 195";"";"16,00";"37,45";"41,45";"50,91"
"SEZIONE 196";"";"12,30";"33,73";"40,67";"51,59"
"SEZIONE 197";"";"17,77";"39,45";"47,11";"58,38"
"SEZIONE 198";"";"19,72";"37,19";"42,34";"55,28"
"SEZIONE 199";"";"21,05";"43,46";"48,27";"61,80"
"SEZIONE 200";"";"19,42";"44,67";"51,52";"66,37"
"SEZIONE 201";"";"18,24";"41,89";"48,54";"65,54"
"SEZIONE 202";"";"13,68";"40,96";"50,53";"65,35"
"SEZIONE 203";"";"16,13";"44,23";"53,42";"67,64"
"SEZIONE 204";"";"17,82";"47,35";"53,33";"65,99"
"SEZIONE 205";"";"14,12";"33,59";"42,24";"55,47"
"SEZIONE 206";"";"18,37";"46,07";"52,59";"64,00"
"SEZIONE 207";"";"20,59";"49,40";"57,20";"69,66"
"SEZIONE 208";"";"18,65";"47,87";"59,65";"70,34"
"SEZIONE 209";"";"19,70";"49,43";"57,52";"71,41"
"SEZIONE 210";"";"20,46";"49,58";"60,29";"74,49"
"SEZIONE 211";"";"20,00";"51,12";"60,83";"74,44"
"SEZIONE 212";"";"19,55";"51,07";"59,21";"72,54"
"SEZIONE 213";"";"19,24";"48,85";"56,68";"72,70"
"SEZIONE 214";"";"20,41";"54,56";"63,95";"76,73"
"SEZIONE 215";"";"23,01";"54,63";"62,72";"76,61"
"SEZIONE 216";"";"16,86";"48,53";"57,01";"71,15"
"SEZIONE 217";"";"20,98";"50,82";"60,63";"72,62"
"SEZIONE 218";"";"20,74";"50,12";"58,99";"72,78"
"SEZIONE 219";"";"23,16";"51,64";"58,53";"71,86"
"SEZIONE 220";"";"22,81";"47,57";"55,08";"66,76"
"SEZIONE 221";"";"17,14";"45,97";"56,30";"71,06"
"SEZIONE 222";"";"21,40";"55,22";"62,42";"74,53"
"SEZIONE 223";"";"21,08";"51,25";"56,92";"72,46"
