"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 138";"";"15,25";"35,15";"39,00";"51,36"
"SEZIONE 139";"";"16,28";"40,79";"46,22";"61,51"
"SEZIONE 140";"";"20,22";"40,75";"47,90";"62,83"
"SEZIONE 141";"";"15,58";"36,22";"43,29";"55,41"
"SEZIONE 142";"";"16,80";"38,66";"46,82";"56,12"
"SEZIONE 143";"";"13,16";"33,33";"36,32";"52,46"
"SEZIONE 144";"";"13,26";"27,33";"32,21";"47,63"
"SEZIONE 145";"";"16,15";"35,11";"39,11";"49,63"
"SEZIONE 146";"";"16,58";"38,75";"42,64";"60,41"
"SEZIONE 147";"";"13,63";"35,99";"41,96";"59,72"
"SEZIONE 148";"";"17,41";"36,59";"44,73";"60,48"
"SEZIONE 149";"";"24,10";"51,81";"53,01";"65,06"
"SEZIONE 150";"";"9,65";"41,23";"49,12";"64,04"
"SEZIONE 151";"";"16,35";"37,98";"40,99";"54,09"
"SEZIONE 152";"";"15,37";"33,70";"36,65";"48,76"
"SEZIONE 153";"";"20,40";"43,05";"46,89";"62,25"
"SEZIONE 154";"";"18,08";"47,23";"52,28";"65,07"
"SEZIONE 155";"";"17,01";"46,14";"50,55";"63,94"
"SEZIONE 156";"";"17,54";"41,52";"47,56";"61,01"
"SEZIONE 157";"";"21,46";"43,93";"51,85";"65,64"
"SEZIONE 158";"";"17,62";"29,52";"33,48";"51,76"
"SEZIONE 159";"";"20,14";"42,67";"50,30";"63,17"
"SEZIONE 160";"";"17,57";"35,78";"41,47";"53,98"
"SEZIONE 161";"";"17,34";"37,48";"40,46";"50,79"
"SEZIONE 162";"";"16,48";"34,07";"39,56";"51,10"
"SEZIONE 163";"";"19,62";"37,12";"40,38";"50,00"
"SEZIONE 164";"";"16,82";"33,82";"39,49";"52,10"
"SEZIONE 165";"";"15,80";"38,47";"44,56";"55,05"
"SEZIONE 166";"";"19,49";"39,71";"45,77";"58,27"
"SEZIONE 167";"";"21,32";"45,09";"50,00";"63,80"
"SEZIONE 168";"";"10,71";"25,21";"28,78";"41,81"
"SEZIONE 169";"";"12,77";"22,26";"26,28";"39,05"
"SEZIONE 170";"";"16,53";"41,43";"47,96";"59,39"
"SEZIONE 171";"";"17,08";"43,79";"51,24";"64,60"
"SEZIONE 172";"";"16,31";"39,08";"46,77";"58,15"
"SEZIONE 173";"";"10,92";"20,84";"22,58";"32,26"
"SEZIONE 174";"";"11,44";"22,38";"25,06";"38,69"
"SEZIONE 175";"";"21,46";"36,53";"40,18";"54,34"
"SEZIONE 176";"";"18,31";"37,93";"43,76";"58,02"
"SEZIONE 177";"";"18,64";"38,45";"44,27";"58,06"
"SEZIONE 178";"";"19,33";"40,72";"47,29";"59,54"
"SEZIONE 179";"";"21,88";"45,67";"50,81";"62,70"
"SEZIONE 180";"";"14,62";"30,12";"33,69";"47,42"
"SEZIONE 181";"";"21,73";"40,75";"46,86";"61,97"
"SEZIONE 182";"";"17,20";"42,46";"48,20";"60,93"
"SEZIONE 183";"";"15,17";"36,71";"40,90";"54,62"
"SEZIONE 184";"";"18,25";"43,04";"48,19";"64,76"
"SEZIONE 185";"";"16,73";"30,85";"35,69";"48,37"
"SEZIONE 186";"";"16,05";"39,05";"42,95";"57,48"
"SEZIONE 187";"";"18,35";"34,25";"39,45";"49,24"
"SEZIONE 188";"";"12,72";"27,93";"31,92";"41,15"
"SEZIONE 189";"";"15,80";"40,96";"47,39";"56,76"
"SEZIONE 190";"";"19,00";"42,23";"44,95";"55,05"
