"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 144";"";"10,59";"40,03";"48,60";"63,24"
"SEZIONE 145";"";"12,00";"39,68";"48,80";"62,56"
"SEZIONE 146";"";"10,87";"42,29";"51,69";"67,40"
"SEZIONE 147";"";"8,96";"39,12";"49,08";"64,86"
"SEZIONE 148";"";"12,13";"45,22";"56,62";"70,83"
"SEZIONE 149";"";"13,53";"45,06";"54,40";"66,98"
"SEZIONE 150";"";"15,58";"48,49";"56,28";"70,48"
"SEZIONE 151";"";"11,76";"38,69";"51,49";"63,54"
"SEZIONE 152";"";"6,75";"36,69";"50,96";"64,59"
"SEZIONE 153";"";"10,61";"37,47";"45,59";"61,71"
"SEZIONE 154";"";"11,65";"42,72";"53,40";"66,26"
"SEZIONE 155";"";"11,17";"44,93";"57,77";"73,30"
"SEZIONE 156";"";"8,62";"41,14";"52,03";"67,97"
"SEZIONE 157";"";"10,43";"42,26";"51,81";"64,87"
"SEZIONE 158";"";"10,56";"42,23";"54,21";"68,90"
"SEZIONE 159";"";"10,64";"40,22";"50,23";"64,48"
"SEZIONE 160";"";"13,78";"48,95";"55,59";"72,12"
"SEZIONE 161";"";"11,09";"49,18";"58,02";"70,61"
"SEZIONE 162";"";"13,58";"44,60";"55,09";"68,98"
"SEZIONE 163";"";"10,16";"36,25";"44,22";"54,38"
"SEZIONE 164";"";"12,89";"36,55";"42,02";"53,36"
"SEZIONE 165";"";"6,45";"23,87";"27,18";"43,03"
"SEZIONE 166";"";"9,08";"42,22";"51,59";"65,71"
"SEZIONE 167";"";"12,64";"43,33";"50,28";"65,14"
"SEZIONE 168";"";"10,26";"42,05";"53,21";"66,41"
"SEZIONE 169";"";"5,95";"24,49";"28,74";"38,95"
"SEZIONE 170";"";"12,44";"41,20";"48,47";"60,26"
"SEZIONE 171";"";"6,91";"39,47";"47,70";"59,70"
"SEZIONE 172";"";"11,30";"33,57";"45,04";"62,43"
"SEZIONE 173";"";"11,22";"36,75";"43,71";"56,09"
"SEZIONE 174";"";"10,03";"42,57";"54,49";"69,73"
"SEZIONE 175";"";"11,54";"47,84";"60,92";"74,83"
"SEZIONE 176";"";"9,68";"37,90";"44,68";"59,52"
"SEZIONE 177";"";"9,64";"46,27";"58,80";"73,73"
"SEZIONE 178";"";"15,51";"46,53";"59,97";"71,64"
"SEZIONE 179";"";"10,00";"35,32";"43,55";"54,35"
"SEZIONE 180";"";"9,82";"44,13";"53,83";"70,92"
"SEZIONE 181";"";"8,33";"29,39";"36,52";"47,73"
"SEZIONE 182";"";"10,42";"45,96";"58,20";"69,53"
"SEZIONE 183";"";"11,99";"47,79";"58,99";"74,29"
"SEZIONE 184";"";"9,61";"52,49";"65,87";"79,42"
"SEZIONE 185";"";"11,52";"48,31";"63,20";"76,12"
"SEZIONE 186";"";"11,19";"46,34";"58,82";"72,17"
"SEZIONE 187";"";"11,82";"45,44";"56,84";"70,09"
"SEZIONE 188";"";"12,62";"42,46";"50,98";"64,10"
"SEZIONE 189";"";"8,39";"36,71";"46,99";"59,97"
"SEZIONE 190";"";"8,74";"32,20";"38,07";"52,28"
"SEZIONE 191";"";"12,52";"41,40";"47,73";"63,69"
"SEZIONE 192";"";"12,48";"53,25";"66,00";"77,03"
"SEZIONE 193";"";"14,46";"49,32";"62,24";"75,85"
"SEZIONE 194";"";"14,50";"47,89";"56,70";"71,19"
"SEZIONE 195";"";"13,56";"47,39";"60,95";"74,37"
"SEZIONE 196";"";"11,91";"46,71";"58,31";"73,98"
"SEZIONE 197";"";"11,17";"47,23";"59,51";"75,66"
"SEZIONE 198";"";"10,05";"42,62";"58,40";"73,79"
"SEZIONE 199";"";"13,26";"49,60";"63,53";"74,14"
"SEZIONE 200";"";"13,90";"44,56";"60,43";"77,01"
"SEZIONE 201";"";"13,56";"48,40";"56,50";"72,69"
"SEZIONE 202";"";"12,06";"43,97";"56,13";"70,27"
"SEZIONE 203";"";"14,52";"45,81";"58,38";"69,61"
"SEZIONE 204";"";"10,66";"48,80";"59,56";"73,04"
"SEZIONE 205";"";"12,94";"48,38";"60,70";"76,12"
