"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"Sezione 212";"";"17,76";"44,93";"54,93";"70,00"
"Sezione 213";"";"23,81";"50,28";"57,14";"69,61"
"Sezione 214";"";"21,41";"51,53";"61,16";"73,55"
"Sezione 215";"";"17,04";"43,50";"52,32";"66,37"
"Sezione 216";"";"20,99";"50,13";"59,80";"70,87"
"Sezione 217";"";"21,94";"50,21";"57,52";"70,18"
"Sezione 218";"";"20,46";"48,56";"54,03";"67,00"
"Sezione 219";"";"18,75";"46,22";"52,91";"65,41"
"Sezione 220";"";"22,21";"50,92";"58,42";"73,69"
"Sezione 221";"";"18,38";"50,25";"58,13";"73,00"
"Sezione 222";"";"18,98";"53,78";"61,76";"76,89"
"Sezione 223";"";"20,97";"48,23";"55,97";"70,48"
"Sezione 224";"";"16,74";"47,94";"54,04";"68,79"
"Sezione 225";"";"20,32";"50,81";"57,14";"69,66"
"Sezione 226";"";"16,34";"47,98";"53,97";"68,22"
"Sezione 227";"";"16,33";"45,62";"53,20";"68,52"
"Sezione 228";"";"18,78";"50,50";"50,50";"72,12"
"Sezione 229";"";"20,29";"54,11";"61,67";"76,79"
"Sezione 230";"";"24,79";"55,43";"64,10";"77,29"
"Sezione 231";"";"20,22";"51,25";"60,25";"72,71"
"Sezione 232";"";"19,45";"51,13";"57,23";"70,42"
"Sezione 233";"";"14,77";"38,64";"45,78";"53,73"
"Sezione 234";"";"15,98";"45,31";"51,77";"64,06"
"Sezione 235";"";"15,62";"39,83";"47,42";"59,31"
"Sezione 236";"";"16,45";"38,06";"41,29";"53,23"
"Sezione 237";"";"11,92";"33,29";"36,03";"47,81"
"Sezione 238";"";"19,79";"47,44";"53,60";"66,97"
"Sezione 239";"";"24,13";"53,58";"57,57";"72,05"
"Sezione 240";"";"17,06";"47,38";"54,72";"66,67"
"Sezione 241";"";"18,24";"49,22";"57,82";"69,33"
"Sezione 242";"";"16,80";"45,36";"54,78";"68,03"
"Sezione 243";"";"18,65";"44,06";"48,94";"59,82"
"Sezione 244";"";"20,00";"50,28";"56,81";"68,75"
"Sezione 245";"";"18,19";"46,94";"54,10";"68,99"
"Sezione 246";"";"15,47";"46,64";"53,36";"67,13"
"Sezione 247";"";"19,03";"47,72";"54,29";"66,89"
"Sezione 248";"";"14,79";"48,67";"55,63";"65,23"
"Sezione 249";"";"15,03";"41,80";"50,55";"62,98"
"Sezione 250";"";"21,27";"54,23";"65,14";"78,73"
"Sezione 251";"";"15,56";"41,26";"49,83";"64,04"
"Sezione 252";"";"20,39";"56,76";"66,58";"78,87"
"Sezione 253";"";"21,81";"50,34";"58,98";"70,51"
"Sezione 254";"";"22,54";"49,66";"57,35";"71,93"
"Sezione 255";"";"19,28";"55,14";"62,60";"76,86"
"Sezione 256";"";"23,40";"62,63";"62,63";"74,73"
"Sezione 257";"";"22,86";"53,43";"64,00";"75,00"
"Sezione 258";"";"23,20";"48,72";"58,12";"71,11"
"Sezione 259";"";"18,99";"46,23";"56,84";"69,97"
"Sezione 260";"";"22,19";"49,41";"61,24";"73,96"
"Sezione 261";"";"21,97";"48,41";"55,06";"73,99"
"Sezione 262";"";"20,85";"52,38";"62,93";"76,45"
"Sezione 263";"";"24,01";"52,10";"62,12";"75,41"
"Sezione 264";"";"22,29";"48,27";"59,00";"73,90"
"Sezione 265";"";"22,50";"54,47";"63,42";"75,79"
"Sezione 266";"";"25,75";"52,13";"63,50";"78,38"
"Sezione 267";"";"23,67";"50,93";"61,30";"76,86"
"Sezione 268";"";"19,83";"48,62";"56,61";"71,63"
"Sezione 269";"";"21,14";"50,85";"57,13";"71,98"
"Sezione 270";"";"22,32";"54,96";"63,58";"75,46"
"Sezione 271";"";"24,55";"53,56";"60,94";"77,10"
"Sezione 272";"";"22,60";"53,25";"60,13";"75,71"
"Sezione 273";"";"21,18";"55,37";"63,54";"76,85"
"Sezione 274";"";"20,41";"55,27";"65,54";"78,92"
"Sezione 275";"";"19,04";"54,36";"63,95";"78,20"
"Sezione 276";"";"25,42";"57,16";"65,16";"80,65"
"Sezione 277";"";"22,28";"55,84";"64,81";"76,22"
"Sezione 278";"";"22,42";"56,54";"64,26";"76,34"
