"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 271";"";"8,84";"27,85";"33,22"
"SEZIONE 272";"";"11,45";"31,27";"38,14"
"SEZIONE 273";"";"13,53";"40,74";"44,81"
"SEZIONE 274";"";"6,38";"22,41";"25,67"
"SEZIONE 275";"";"8,85";"28,11";"33,07"
"SEZIONE 276";"";"14,95";"40,22";"40,90"
"SEZIONE 277";"";"6,63";"24,12";"28,77"
"SEZIONE 278";"";"13,27";"32,22";"38,19"
"SEZIONE 279";"";"13,13";"31,42";"35,99"
"SEZIONE 280";"";"4,83";"17,99";"22,30"
"SEZIONE 281";"";"9,95";"25,40";"27,53"
"SEZIONE 282";"";"8,75";"26,63";"29,50"
"SEZIONE 283";"";"14,08";"42,12";"48,69"
"SEZIONE 284";"";"10,24";"23,62";"26,12"
"SEZIONE 285";"";"8,14";"26,35";"32,46"
"SEZIONE 286";"";"11,27";"30,25";"35,44"
"SEZIONE 287";"";"7,58";"23,53";"26,14"
"SEZIONE 288";"";"3,96";"11,36";"14,00"
"SEZIONE 289";"";"10,72";"27,95";"33,24"
"SEZIONE 290";"";"10,27";"33,91";"42,08"
"SEZIONE 291";"";"11,49";"32,84";"37,77"
"SEZIONE 292";"";"9,35";"25,00";"28,42"
"SEZIONE 293";"";"9,04";"25,47";"31,97"
"SEZIONE 294";"";"6,83";"22,29";"26,55"
"SEZIONE 295";"";"14,17";"32,69";"38,06"
"SEZIONE 296";"";"20,22";"48,74";"52,81"
"SEZIONE 297";"";"6,44";"22,78";"26,25"
"SEZIONE 298";"";"8,18";"21,77";"24,88"
"SEZIONE 299";"";"9,26";"24,58";"30,96"
"SEZIONE 300";"";"8,78";"26,84";"31,55"
"SEZIONE 301";"";"4,66";"17,98";"21,17"
"SEZIONE 302";"";"18,92";"48,26";"56,53"
"SEZIONE 303";"";"6,10";"19,46";"21,69"
"SEZIONE 304";"";"11,14";"25,21";"29,13"
"SEZIONE 305";"";"8,53";"23,54";"27,44"
"SEZIONE 306";"";"10,19";"26,71";"30,45"
"SEZIONE 307";"";"45,89";"53,06";"59,34"
"SEZIONE 308";"";"10,99";"29,75";"34,69"
"SEZIONE 309";"";"11,31";"25,23";"29,78"
"SEZIONE 310";"";"17,06";"43,00";"52,01"
"SEZIONE 311";"";"9,62";"23,34";"27,43"
"SEZIONE 312";"";"16,76";"42,62";"47,72"
"SEZIONE 313";"";"11,39";"27,88";"32,74"
"SEZIONE 314";"";"15,65";"35,22";"38,26"
"SEZIONE 315";"";"8,77";"29,48";"32,66"
"SEZIONE 316";"";"11,72";"25,77";"29,57"
"SEZIONE 317";"";"9,58";"27,93";"31,42"
"SEZIONE 318";"";"7,97";"24,52";"26,44"
"SEZIONE 319";"";"7,42";"23,70";"27,24"
"SEZIONE 320";"";"7,77";"23,94";"27,46"
