SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
1,3,7,7,5,0,58,4,28,3,18,16,36,13,2,0,206,0.677631579
2,8,8,28,29,1,204,14,66,6,23,43,72,17,6,1,565,0.70625
3,1,2,3,5,0,25,2,16,3,6,37,8,24,1,1,150,0.612244898
4,1,6,4,5,0,68,6,29,1,5,29,42,11,3,0,234,0.558472554
5,7,3,3,6,2,133,9,70,0,14,22,45,17,2,0,379,0.651202749
6,3,4,6,11,0,43,6,33,2,6,33,40,17,3,0,228,0.53271028
7,0,2,2,5,0,17,0,10,0,3,11,23,3,0,0,82,0.607407407
8,12,9,4,14,1,113,2,75,3,15,37,65,15,7,0,398,0.692173913
9,6,17,16,24,1,152,9,50,7,79,39,168,36,15,0,669,0.713219616
10,7,8,14,24,2,123,4,64,0,19,18,58,13,12,0,417,0.655660377
11,4,6,15,30,0,147,4,63,1,22,27,58,10,4,0,436,0.610644258
12,10,11,9,16,0,117,14,72,6,17,30,80,25,2,2,441,0.622002821
13,9,12,16,23,0,146,5,85,2,32,60,99,14,5,1,555,0.644599303
14,3,10,6,19,2,124,5,63,1,22,62,77,15,7,0,479,0.638666667
15,8,7,10,20,1,148,7,92,6,22,52,79,16,4,1,504,0.700973574
16,5,4,11,16,2,176,4,66,1,30,31,62,12,7,0,466,0.687315634
17,2,7,1,3,0,37,7,34,0,11,26,23,11,0,0,175,0.475543478
18,5,6,7,29,2,140,2,84,1,21,34,65,15,3,0,441,0.602459016
19,5,10,6,7,5,57,4,91,2,12,32,49,9,4,0,333,0.472340426
20,8,17,10,14,7,112,11,98,6,22,50,98,22,6,0,530,0.564430245
21,1,3,0,2,1,29,3,38,1,5,19,34,7,0,0,148,0.318965517
22,3,11,4,6,5,40,8,62,1,9,32,39,22,2,0,282,0.479591837
23,0,6,2,3,1,43,6,41,1,6,29,25,13,2,0,186,0.352272727
24,4,11,3,5,1,28,3,35,2,3,17,45,7,5,0,185,0.404814004
25,7,12,4,6,3,41,5,45,0,9,25,45,15,1,0,238,0.408233276
26,8,9,9,38,6,74,12,106,3,26,33,72,11,5,0,448,0.605405405
27,6,10,3,8,1,78,4,62,4,11,21,67,11,1,0,309,0.559782609
28,4,6,3,14,7,77,6,46,1,19,29,67,25,8,0,344,0.510385757
29,4,12,12,7,2,67,2,48,3,16,24,59,10,5,1,306,0.630927835
30,13,13,13,14,9,149,5,84,2,13,67,89,14,8,1,539,0.602908277
31,9,6,13,22,0,110,9,75,11,10,38,82,21,5,0,456,0.603174603
32,4,14,11,15,0,124,9,93,8,37,43,97,23,14,0,530,0.637019231
33,10,19,13,27,0,102,4,90,5,28,44,64,8,3,0,467,0.615283267
34,5,13,9,21,2,116,3,66,2,32,35,72,17,12,0,440,0.611961057
35,7,9,15,21,0,138,6,101,7,24,57,63,19,8,0,517,0.647869674
36,8,11,12,12,0,123,6,77,2,16,36,53,12,5,0,407,0.623277182
37,6,10,5,24,2,75,4,44,2,16,32,47,17,4,1,310,0.593869732
38,9,15,10,17,2,155,9,99,1,30,40,78,22,12,0,540,0.644391408
39,5,8,18,10,3,99,8,73,4,20,43,61,11,2,0,390,0.596330275
40,1,4,6,6,6,58,9,59,1,6,26,47,13,4,2,271,0.447933884
41,5,6,12,8,0,62,7,68,1,12,36,28,6,9,0,280,0.53030303
42,4,13,10,12,2,94,7,67,9,18,48,66,14,3,0,401,0.508883249
43,5,12,9,22,0,84,7,72,2,31,26,109,15,9,0,442,0.632331903
44,5,14,14,1,18,107,6,43,6,35,18,65,14,15,0,398,0.694589878
45,5,5,14,13,1,91,0,51,2,36,29,74,15,14,1,392,0.641571195
46,5,9,7,8,3,88,6,68,0,36,37,71,23,8,0,402,0.666666667
47,10,11,12,29,2,157,5,81,0,73,43,95,19,19,0,601,0.690011481
48,3,12,30,18,0,149,6,52,5,69,28,132,31,15,1,592,0.701421801
49,14,12,20,24,0,89,13,111,5,45,47,108,31,10,0,592,0.64208243
50,11,10,28,25,2,193,8,73,6,69,37,102,13,16,1,631,0.74498229
51,8,10,21,30,3,131,12,85,0,59,35,70,21,10,1,542,0.655380895
52,1,11,18,23,0,148,7,58,0,79,24,98,23,16,0,559,0.697007481
53,10,10,20,26,2,151,7,71,4,42,60,94,21,22,1,590,0.673515982
54,7,9,32,28,0,155,9,78,4,55,49,96,21,12,0,594,0.700471698
55,20,11,15,39,2,139,12,64,3,72,33,88,26,6,0,587,0.679398148
56,5,6,22,24,3,197,5,61,4,86,41,143,30,17,1,693,0.7734375
57,8,7,14,26,2,138,8,52,3,57,29,117,28,21,1,543,0.712598425
58,10,16,19,21,2,119,3,65,4,38,43,85,19,9,1,496,0.671177267
59,9,9,18,33,4,174,13,82,5,55,43,83,26,15,0,621,0.716262976
60,7,7,5,18,7,146,5,47,1,34,35,70,22,5,0,448,0.702194357
61,8,7,12,12,2,156,6,77,4,42,47,45,15,7,0,521,0.692819149
62,4,8,25,30,2,160,8,55,8,47,42,72,17,11,0,533,0.685971686
63,5,12,23,19,1,159,5,65,2,59,55,110,17,13,0,587,0.684149184
64,4,3,1,7,0,29,0,23,2,1,15,22,3,1,0,117,0.676300578
65,2,2,6,4,1,38,1,24,6,3,19,27,12,2,0,158,0.624505929
66,4,6,8,13,2,79,3,36,0,13,29,54,13,6,0,295,0.644104803
67,4,15,15,36,0,157,7,65,4,45,53,137,24,14,1,634,0.721274175
68,1,13,11,22,4,136,8,67,2,28,53,74,14,8,0,486,0.725373134
69,9,10,10,23,0,113,2,68,6,13,45,74,9,8,0,436,0.641176471
70,3,13,13,21,0,146,2,81,10,31,27,101,34,7,0,532,0.631828979
71,6,8,11,23,2,148,6,72,1,31,36,92,12,8,0,498,0.636015326
72,6,17,17,23,1,123,5,63,5,34,44,61,17,6,0,450,0.588235294
73,2,4,10,18,1,102,6,31,2,13,14,62,12,1,0,306,0.598825832
74,6,5,19,34,4,167,3,89,5,46,40,71,13,11,1,583,0.666285714
75,3,8,14,10,16,119,4,50,10,15,5,75,6,1,1,366,0.572769953
76,7,5,9,23,3,104,5,60,0,15,28,59,15,11,0,376,0.615384615
77,3,8,11,13,4,75,2,55,2,12,40,52,16,6,0,323,0.644710579
78,9,18,13,22,1,109,8,57,2,38,39,88,23,12,0,492,0.621997472
79,10,7,13,29,4,94,9,112,5,27,28,65,26,6,1,491,0.592995169
80,8,12,13,34,1,86,6,97,4,19,33,73,19,5,0,462,0.613545817
81,8,10,30,17,4,126,10,85,6,26,37,82,25,10,0,511,0.601176471
82,7,12,19,22,5,152,4,64,0,40,32,104,26,12,0,535,0.652439024
83,4,20,19,23,1,134,7,53,2,39,33,70,13,13,1,474,0.670438472
84,9,8,16,22,1,155,10,93,2,39,46,92,27,9,0,583,0.6625
85,9,18,15,27,0,151,9,86,3,26,27,90,14,6,2,524,0.63902439
86,10,12,11,27,1,134,12,87,1,22,26,53,23,7,0,455,0.651862464
87,8,14,12,31,2,137,10,76,4,20,53,100,23,7,0,549,0.59223301
88,9,6,11,19,4,84,2,77,4,6,42,60,10,6,1,375,0.59429477
89,1,9,17,10,0,89,3,51,4,26,27,38,20,3,0,322,0.67223382
90,10,9,14,27,2,118,10,93,4,15,38,64,18,6,1,474,0.580171359
91,9,17,8,36,1,121,6,80,1,17,26,77,18,5,0,465,0.581977472
92,11,9,16,33,0,169,10,75,6,32,40,81,32,12,0,596,0.719806763
93,5,13,14,25,6,141,13,90,5,23,26,73,18,9,0,505,0.65245478
94,12,11,29,24,1,116,5,57,4,68,26,148,25,5,0,581,0.699157641
95,9,5,9,14,2,77,6,52,4,18,25,48,9,0,0,297,0.603658537
96,8,10,9,23,2,137,8,87,1,21,36,89,15,11,0,501,0.656618611
97,3,9,7,20,1,131,8,66,2,23,31,86,23,8,0,459,0.607142857
98,8,13,12,21,3,105,2,76,4,18,37,52,14,8,1,417,0.624251497
99,2,4,7,14,1,72,8,46,0,10,21,43,17,1,1,262,0.605080831
100,2,8,7,17,0,50,4,52,0,7,25,37,11,4,0,239,0.558411215
101,6,9,12,24,4,142,7,71,6,34,21,62,18,7,0,459,0.682020802
102,1,5,9,12,2,102,3,82,9,11,23,63,20,7,0,385,0.680212014
103,9,6,11,23,2,158,12,71,5,38,41,107,13,14,0,539,0.67375
104,11,16,10,18,2,113,7,89,3,22,34,49,16,5,0,435,0.609243697
105,15,12,17,35,1,108,9,77,7,26,37,74,20,8,1,496,0.656084656
106,8,11,15,16,2,129,8,121,2,17,38,80,9,5,0,493,0.571925754
107,5,9,9,8,2,119,13,73,0,27,35,72,11,11,1,425,0.672468354
108,14,19,31,37,3,167,1,115,7,20,51,89,17,5,0,648,0.665297741
109,3,8,7,19,2,144,6,75,0,26,45,74,17,8,0,467,0.666191155
110,5,15,7,22,3,120,9,82,1,19,21,70,13,5,1,427,0.578590786
111,8,14,6,15,2,74,3,88,2,6,37,69,18,6,0,388,0.556671449
112,5,15,13,18,0,117,8,106,5,10,43,86,16,8,0,485,0.610062893
113,7,16,9,21,6,116,1,75,2,18,44,90,19,6,0,465,0.590851334
114,3,9,17,32,2,125,5,74,2,20,32,57,22,9,0,441,0.604109589
115,5,12,8,8,3,99,4,90,0,30,26,76,14,3,0,412,0.581920904
116,7,8,10,17,0,115,5,95,3,30,35,71,19,9,0,463,0.622311828
117,5,3,6,11,0,45,8,46,3,14,31,47,18,1,0,263,0.617370892
118,6,8,8,28,6,112,9,62,5,24,36,59,20,5,0,419,0.638719512
119,6,9,16,12,1,135,7,80,0,25,46,74,19,6,0,474,0.678111588
120,5,12,6,14,4,93,4,97,4,12,61,91,17,6,2,446,0.57846952
121,2,4,2,5,0,55,3,63,4,15,32,84,20,2,2,336,0.513761468
122,12,3,11,9,2,72,2,68,7,24,35,88,15,2,0,385,0.568685377
123,6,14,7,26,3,95,7,94,8,11,49,84,17,6,0,477,0.579586877
124,4,9,10,12,1,88,6,85,2,20,38,96,14,6,0,421,0.550326797
125,9,15,5,12,0,68,3,67,2,11,24,60,22,9,2,330,0.532258065
126,6,6,8,9,3,49,5,86,1,10,41,45,22,2,0,326,0.450276243
127,10,5,7,12,1,52,3,76,1,11,39,70,27,3,1,373,0.490144547
128,3,15,7,14,7,56,4,73,1,10,31,75,20,0,0,350,0.486787204
129,12,6,10,13,1,82,7,70,0,13,34,83,16,5,0,384,0.588957055
130,4,7,8,16,2,91,8,83,3,17,29,70,14,1,0,379,0.600633914
131,6,12,6,16,3,115,9,117,0,10,42,68,18,2,1,464,0.612137203
132,10,13,17,28,1,118,12,81,3,25,47,91,11,7,0,496,0.578088578
133,4,7,6,5,3,47,4,72,4,3,35,46,16,1,0,281,0.501785714
134,9,17,9,13,4,71,3,71,0,4,27,61,8,5,0,332,0.581436077
