SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
225,8,16,9,17,2,85,9,52,1,21,25,50,11,5,0,343,0.537617555
226,6,11,13,28,2,91,4,65,1,15,25,71,11,5,0,399,0.582481752
227,7,7,4,12,4,82,15,65,2,14,34,56,15,4,1,357,0.555209953
228,0,2,2,6,4,27,2,27,3,8,11,43,13,1,0,172,0.569536424
229,6,5,11,23,2,97,8,53,4,15,38,66,22,6,0,387,0.596302003
230,10,6,14,8,0,81,7,59,2,32,41,84,26,5,0,401,0.704745167
231,9,13,12,29,1,118,6,71,3,30,33,105,18,7,0,493,0.632862644
232,9,10,6,14,0,106,6,58,2,14,30,85,13,4,1,389,0.583208396
233,11,14,14,18,1,153,7,76,1,32,26,92,18,8,1,503,0.718571429
234,2,8,19,30,1,116,4,89,4,41,41,108,20,6,0,532,0.692708333
235,1,3,0,0,0,15,1,6,0,1,1,8,1,3,1,44,#DIV/0!
236,1,11,22,23,3,110,6,113,3,36,41,140,20,14,0,571,0.682198327
237,10,6,12,22,2,106,7,73,2,25,41,80,11,6,0,447,0.60651289
238,6,13,9,12,2,107,7,76,5,26,43,78,15,6,0,456,0.638655462
239,6,8,8,19,2,110,21,75,3,20,26,78,14,7,0,426,0.587586207
240,4,9,14,13,0,54,2,58,5,11,23,40,13,6,0,272,0.525096525
241,2,0,2,2,0,11,0,2,0,2,4,9,1,0,0,40,0.816326531
242,4,10,8,27,0,70,4,63,4,25,44,46,11,2,0,338,0.63653484
243,8,8,7,16,0,67,2,33,0,9,12,46,8,4,0,238,0.54965358
244,0,6,5,14,1,64,3,55,3,11,23,40,7,1,0,251,0.538626609
245,14,9,10,16,2,97,2,58,1,24,42,77,17,6,0,410,0.665584416
246,6,6,10,16,1,98,5,43,5,25,20,56,13,6,0,337,0.596460177
247,8,12,8,20,0,96,9,72,1,11,37,95,13,4,0,414,0.615156018
248,7,6,11,8,1,84,7,58,1,28,24,55,10,9,0,342,0.591695502
249,13,8,20,15,1,118,4,65,0,21,36,91,21,3,2,462,0.614361702
250,9,6,12,21,3,106,11,54,2,26,36,68,23,8,0,427,0.560367454
251,10,12,9,24,1,84,6,68,3,12,23,67,14,3,1,385,0.549215407
252,9,16,16,34,3,118,5,97,9,22,45,95,22,5,0,539,0.573404255
253,8,9,7,24,4,94,3,49,1,30,34,51,22,1,0,361,0.707843137
254,8,12,13,21,2,113,7,67,3,22,32,70,17,4,2,439,0.688087774
255,7,14,16,11,2,75,5,52,1,22,27,61,13,2,0,322,0.602996255
256,17,7,13,23,0,74,9,58,2,14,18,66,15,2,0,340,0.559210526
257,6,13,14,22,0,83,11,58,5,12,36,83,13,4,0,394,0.623417722
258,10,8,7,18,5,66,11,56,7,4,36,60,9,3,0,373,0.560902256
259,6,12,16,27,1,83,8,64,5,8,27,61,12,3,1,363,0.571653543
260,5,5,3,17,2,104,5,60,4,12,32,63,12,1,1,354,0.522895126
261,3,9,9,16,3,141,6,91,1,29,30,79,13,8,1,476,0.632138114
262,4,13,15,28,2,130,4,69,0,20,38,102,20,9,0,493,0.641927083
263,11,6,9,2,22,102,1,66,5,20,25,17,51,6,0,382,0.621138211
264,10,15,9,29,1,130,5,63,3,18,15,72,6,6,0,407,0.681742044
265,5,7,10,27,2,158,3,70,1,20,26,56,10,7,1,431,0.700813008
266,10,11,12,26,0,124,7,70,5,31,26,81,14,5,0,455,0.695718654
267,9,16,17,14,3,119,3,81,3,24,30,85,18,4,0,457,0.591203105
268,9,17,14,29,1,126,7,74,2,26,42,81,19,5,0,484,0.638522427
269,6,9,8,26,1,89,2,54,0,29,31,57,21,1,1,363,0.655234657
270,11,7,12,39,2,160,10,69,6,47,37,75,16,15,0,557,0.644675926
271,6,9,7,26,4,75,8,52,5,26,27,65,23,10,0,376,0.61237785
272,8,5,8,19,1,78,8,44,5,21,19,84,16,6,0,356,0.631205674
273,7,4,14,28,1,123,5,87,4,32,17,73,17,5,0,447,0.652554745
274,12,6,18,42,2,108,4,57,5,41,32,78,18,12,1,474,0.665730337
275,4,14,9,22,1,115,2,48,0,16,18,61,16,2,0,357,0.659889094
276,15,8,23,33,1,75,9,62,0,15,30,52,7,0,0,356,0.635714286
277,19,12,39,66,2,134,17,52,11,28,20,55,9,12,0,520,0.621266428
278,30,7,31,63,2,150,15,77,6,46,16,66,13,7,0,573,0.671746776
279,15,7,31,80,1,118,12,55,1,20,7,59,5,5,0,455,0.639943741
280,21,3,29,51,1,115,8,77,1,30,13,55,11,6,0,454,0.652298851
281,13,5,22,54,1,137,11,63,1,32,21,46,14,5,0,463,0.664275466
282,22,6,27,62,1,124,8,78,3,31,33,56,13,5,0,507,0.631382316
283,28,1,23,36,2,87,16,34,2,25,20,46,11,3,0,360,0.649819495
284,18,9,40,72,0,157,9,68,2,49,23,59,18,5,0,576,0.70501836
285,25,10,32,78,2,123,17,43,4,64,22,79,13,7,1,561,0.667857143
286,23,9,18,68,2,83,13,68,3,21,24,24,12,8,0,402,0.633070866
287,30,6,36,82,0,155,16,61,4,39,21,50,10,5,0,569,0.663170163
288,17,5,24,57,1,121,4,61,4,30,11,34,6,3,0,409,0.687394958
289,21,8,42,52,0,178,11,66,3,90,28,77,18,22,0,668,0.753100338
290,25,10,13,52,0,96,9,46,1,36,14,53,14,9,0,396,0.656716418
291,14,4,24,50,0,83,2,67,3,26,23,57,10,5,0,406,0.583333333
