SEZIONE,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MASTELLA NOI DI CENTRO EUROPEISTI,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,PIU-EUROPA,TOTALE,AFFLUENZA
699,9,9,23,38,7,5,3,3,1,176,2,50,9,5,340,0.4171779141104294
700,5,17,39,59,24,7,1,4,2,212,0,22,5,5,402,0.4152892561983471
701,10,11,55,69,12,6,3,11,0,210,3,47,6,2,445,0.433300876338851
702,17,12,18,46,9,2,3,12,2,209,5,65,14,3,417,0.4426751592356688
703,6,10,17,37,7,3,0,6,1,170,0,35,12,5,309,0.3705035971223021
704,12,11,24,54,12,3,5,15,0,169,0,43,7,1,356,0.3912087912087912
705,9,8,37,80,13,1,3,10,32,166,1,43,1,9,413,0.4240246406570842
706,11,6,16,18,8,7,2,7,6,212,0,56,14,3,366,0.386892177589852
707,7,13,28,69,13,2,2,13,4,194,4,60,19,10,438,0.4684491978609625
708,16,22,31,57,11,6,3,12,6,165,1,69,13,10,422,0.4442105263157895
709,11,15,20,61,9,9,1,11,2,174,0,72,10,4,399,0.435589519650655
710,17,11,35,65,12,3,5,11,7,205,3,49,5,3,431,0.4532071503680336
711,11,6,29,30,12,9,3,8,3,216,3,56,6,4,396,0.3676880222841225
712,12,12,31,51,13,3,1,4,10,194,0,44,10,5,390,0.3915662650602409
713,10,4,21,31,12,7,2,7,5,146,3,60,11,3,322,0.4281914893617021
714,4,6,25,32,7,4,0,7,6,228,1,30,11,2,363,0.3837209302325581
715,9,14,28,54,3,0,3,5,3,145,2,45,5,5,321,0.4320323014804845
716,6,13,51,63,9,9,1,5,27,166,2,39,4,10,405,0.4480088495575221
717,16,17,31,55,9,5,3,9,0,205,1,51,15,1,418,0.4282786885245901
718,13,13,41,46,10,8,3,15,5,237,1,46,19,9,466,0.469758064516129
719,13,14,38,53,18,6,3,10,20,202,1,32,10,2,422,0.4026717557251908
720,6,14,28,59,8,4,6,6,1,199,1,53,16,4,405,0.4555680539932508
721,12,7,16,38,11,7,5,4,4,150,0,20,14,6,294,0.3989145183175034
722,7,3,24,55,7,2,0,8,2,141,1,42,7,0,299,0.4051490514905149
723,13,8,36,52,9,7,1,22,2,212,5,58,9,5,439,0.4237451737451737
724,10,12,23,37,6,4,1,4,5,194,0,25,8,3,332,0.3454734651404786
725,9,11,26,43,9,4,2,11,3,210,6,43,4,5,386,0.4366515837104072
726,10,14,28,64,15,5,0,9,4,219,0,73,12,3,456,0.4851063829787234
727,7,10,24,33,10,3,4,6,2,289,0,28,6,2,424,0.3915050784856879
728,16,8,24,37,9,4,2,4,1,256,1,37,2,2,403,0.3935546875
729,3,3,29,37,11,4,6,8,0,236,0,27,6,3,373,0.4656679151061174
730,4,4,17,39,9,8,2,5,0,184,0,26,16,10,324,0.3946406820950061
731,4,7,15,24,4,0,0,3,0,192,0,16,3,1,269,0.4157650695517774
732,6,5,22,35,9,2,4,7,0,222,0,17,15,3,347,0.413095238095238
733,17,12,33,58,7,6,8,9,0,215,0,54,7,2,428,0.4495798319327731
